,0
1842-43,0.0
1843-44,0.0
1844-45,0.0
1845-46,0.030303030303030304
1846-47,0.041666666666666664
1847-48,0.0
1848-49,0.0
1849-50,0.0
1850-51,0.0
1851-52,0.0
1852-53,0.0
1853-54,0.03571428571428571
1854-55,0.0
1855-56,0.037037037037037035
1856-57,0.0
1857-58,0.0
1858-59,0.0
1859-60,0.0
1860-61,0.019230769230769232
1861-62,0.030303030303030304
1862-63,0.027777777777777776
1863-64,0.0
1864-65,0.06896551724137931
1865-66,0.07142857142857142
1866-67,0.058823529411764705
1867-68,0.0
1868-69,0.03225806451612903
1869-70,0.030303030303030304
1870-71,0.027777777777777776
1871-72,0.0
1872-73,0.034482758620689655
1873-74,0.0
1874-75,0.05263157894736842
1875-76,0.0
1876-77,0.05
1877-78,0.04
1878-79,0.05154639175257732
1879-80,0.029850746268656716
1880-81,0.1
1881-82,0.0784313725490196
1882-83,0.018518518518518517
1883-84,0.05660377358490566
1884-85,0.05
1885-86,0.03333333333333333
1886-87,0.04
1887-88,0.046153846153846156
1888-89,0.014492753623188406
1889-90,0.015873015873015872
1890-91,0.05128205128205128
1891-92,0.02666666666666667
1892-93,0.01282051282051282
1893-94,0.015625
1894-95,0.046153846153846156
1895-96,0.0
1896-97,0.012578616352201259
1897-98,0.0
1898-99,0.0273972602739726
1899-00,0.0
1900-01,0.010741138560687433
1901-02,0.0
1902-03,0.04878048780487805
1903-04,0.05025125628140704
1904-05,0.023696682464454975
1905-06,0.024242424242424242
1906-07,0.01910828025477707
1907-08,0.027777777777777776
1908-09,0.01020408163265306
1909-10,0.046052631578947366
1910-11,0.00558659217877095
1911-12,0.020316027088036117
1912-13,0.01417004048582996
1913-14,0.02154398563734291
1914-15,0.02631578947368421
1915-16,0.02244668911335578
1916-17,0.001567398119122257
1917-18,0.017123287671232876
1918-19,0.018209408194233688
1919-20,0.010752688172043012
1920-21,0.005698005698005698
1921-22,0.011320754716981131
1922-23,0.021601016518424398
1923-24,0.01653944020356234
1924-25,0.01985981308411215
1925-26,0.007614213197969543
1926-27,0.025547445255474453
1927-28,0.0136986301369863
1928-29,0.02023121387283237
1929-30,0.02571041948579161
1930-31,0.01901743264659271
1931-32,0.013910355486862442
1932-33,0.009244992295839754
1933-34,0.013916500994035786
1934-35,0.01276595744680851
1935-36,0.005415162454873646
1936-37,0.017094017094017096
1937-38,0.023494860499265784
1938-39,0.02158273381294964
1939-40,0.028064992614475627
1940-41,0.005649717514124294
1941-42,0.015332197614991482
1942-43,0.020186335403726708
1943-44,0.00725689404934688
1944-45,0.015130674002751032
1945-46,0.00821917808219178
1946-47,0.0076045627376425855
1947-48,0.018867924528301886
1948-49,0.013966480446927373
1949-50,0.01340033500837521
1950-51,0.02872531418312388
1951-52,0.022099447513812154
1952-53,0.02689075630252101
1953-54,0.0265625
1954-55,0.023809523809523808
1955-56,0.016296296296296295
1956-57,0.012987012987012988
1957-58,0.00516795865633075
1958-59,0.0364963503649635
1959-60,0.03571428571428571
1960-61,0.03600654664484452
1961-62,0.017632241813602016
1962-63,0.019867549668874173
1963-64,0.017543859649122806
1964-65,0.02610966057441253
1965-66,0.015957446808510637
1966-67,0.01904761904761905
1967-68,0.04028436018957346
1968-69,0.06647398843930635
1969-70,0.012422360248447204
1970-71,0.02491103202846975
1971-72,0.022222222222222223
1972-73,0.025069637883008356
1973-74,0.05128205128205128
1974-75,0.02518891687657431
1975-76,0.007194244604316547
1976-77,0.012953367875647668
1977-78,0.015184381778741865
1978-79,0.0025
1979-80,0.019230769230769232
1980-81,0.018461538461538463
1981-82,0.010443864229765013
1982-83,0.0
1983-84,0.0
1984-85,0.00796812749003984
1985-86,0.00911854103343465
1986-87,0.024096385542168676
1987-88,0.008379888268156424
1988-89,0.014285714285714285
1989-90,0.01529051987767584
1990-91,0.008174386920980926
1991-92,0.0043859649122807015
1992-93,0.012232415902140673
1993-94,0.012944983818770227
1994-95,0.009316770186335404
1995-96,0.002617801047120419
1996-97,0.01348314606741573
1997-98,0.006993006993006993
1998-99,0.0025252525252525255
1999-00,0.0
2000-01,0.009345794392523364
2001-02,0.010498687664041995
2002-03,0.004158004158004158
2003-04,0.0367816091954023
2004-05,0.002232142857142857
2005-06,0.02304964539007092
2006-07,0.013888888888888888
2007-08,0.004846526655896607
2008-09,0.026755852842809364
2009-10,0.005706134094151213
2010-11,0.0017094017094017094
2011-12,0.023931623931623933
2012-13,0.005385996409335727
2013-14,0.0
2014-15,0.005016722408026756
2015-16,0.0013513513513513514
2016-17,0.0340632603406326
