composerName,birthYear,deathYear,nationality
"Gruber,  HK",1943,9999,Austro-German
"Waxman,  Franz",1906,1967,American
"Bantock,  Granville",1868,1946,English
"Lunsqui,  Alexandre",,,NOT FOUND
"Nevin,  Ethelbert",1862,1901,North American
"Carey,  Mariah",1969,1970,North American
"Hartmann,  Karl  Amadeus",1905,1963,English
"Jessel,  Leon",1871,1942,Austro-German
"O'Brien,  Jake",1984,2005,North American
"Goetz,  Hermann",1840,1876,Austro-German
"Thomas,  Augusta  Read",1964,9999,North American
"Bossi,  Marco  Enrico",1861,1925,Italian
"Castellanos,  Carlos",,,NOT FOUND
"Parker,  Horatio",1863,1919,North American
"Mosolov,  Alexander",1900,1973,Russian
"Gibbons,  Orlando",1583,1625,English
"Stock,  Frederick  A.",,,NOT FOUND
"Renwick,  Wilke",,,NOT FOUND
"Moreno Torroba,  Federico",1891,1982,Spanish
"Bass,  Randol  Alan",,,NOT FOUND
"Hill,  Edward  Burlingame",1872,1960,North American
"Nicode [Nicodé],  Jean  Louis",1853,1919,
"Scheidt,  Samuel",1587,1654,Austro-German
"Pregel,  Boris",1893,1976,Russian
"Lewis,  John",1940,9999,
"Matthews,  Colin",1946,9999,English
"Komzak,  Karl",1850,1905,Austro-German
"Anderson,  Julian",1967,9999,English
"Victoria,  Tomás  Luis de",1548,1611,
"Porrino,  Ennio",1910,1959,Italian
"Blitzstein,  Marc",1905,1964,North American
"Ernst,  Heinrich  Wilhelm",1812,1865,
"Gaburo,  Kenneth",1926,1993,North American
"Chueca,  Federico",1846,1908,Spanish
"King,  Karl  Lawrence",1891,1971,
"Kancheli,  Giya",1935,2019,Russian
"Low,  Leo",1878,1960,
"Lvov,  Alexey",1653,1654,Russian
"Rose,  David",0,9999,
"Chin,  Unsuk",1961,2004,Korean
"Casals,  Pablo",1876,1973,English
"Espejo,  Cesar",,,NOT FOUND
"Di Capua,  Rinaldo",,,NOT FOUND
"Castro,  Juan  José",1895,1968,
"Reinhold,  Hugo",1854,1935,Austro-German
"Norpoth,  John-Paul/Jannina",,,NOT FOUND
"Moniuszko,  Stanislaw",1819,1872,Polish
"Pachelbel,  Johann",1653,1706,Austro-German
"Chavarri,  Eduardo  Lopez",,,NOT FOUND
"Schreiber,  Louis",,,NOT FOUND
"Cohan,  George  Michael",1878,1942,North American
"Alabieff,  Alexander",,,NOT FOUND
"Warren,  Harry",1893,1981,North American
"Medtner,  Nikolai",1880,1879,Russian
"Phile,  Philip",1734,1793,American
"Johnson,  Horace",1886,1966,
"Tarrega,  Francisco",1852,1909,Spanish
"Bridge,  Frank",1879,1941,English
"Rabiu,  Isai",,,NOT FOUND
"Hetu [Hétu],  Jacques",1938,2010,North American
"Noskowski,  Sigismund",1846,1909,Polish
"Bemberg,  Herman",1859,1931,Austro-German
"Kreutzer,  Conradin",1780,1849,Austro-German
"Caccini,  Giulio",1551,1618,Italian
"Durufle [Duruflé],  Maurice",1902,1986,French
"Pugni,  Cesare",1802,1870,Italian
"Manfredini,  Francesco",1684,1762,Italian
"Zimmerman,  Charles  A.",1861,1916,North American
"Ries,  Ferdinand",1784,1838,Austro-German
"Giacchino,  Michael",1967,9999,North American
"Lehmann,  Liza",1862,1918,English
"Schwartz,  Arthur",1900,1984,North American
"Ponce,  Manuel",1882,1948,Mexican
"Stahlberg,  Fritz",,,NOT FOUND
"Janis,  Tim",0,9999,North American
"Wagenaar,  Johan",1862,1941,Dutch
"Stolzel [Stölzel],  Gottfried  Heinrich",1690,1749,Austro-German
"Rosenthal,  Manuel",1904,2003,French
"Bland,  James",1692,1693,English
"Pochon,  Alfred",1878,1959,
"Shepherd,  Sean",,,NOT FOUND
"Arnold,  Sir  Malcolm",1921,2006,English
"McBride,  Robert",0,9999,
"Merikanto,  Oskar",1868,1924,Nordic
"Puts,  Kevin",1972,2012,North American
"Danielpour,  Richard",1956,9999,North American
"Strong,  George  Templeton",1820,1875,North American
"Halvorsen,  Johan",1864,1935,Nordic
"Hendrix,  Jimi",1942,1970,North American
"Moscheles,  Ignaz",1794,1870,Austro-German
"Balfe,  Michael  William",1808,1870,Austro-German
"Schumann,  Clara",1819,1896,Austro-German
"Beach,  Amy",1867,1944,North American
"Mollenhauer,  Friedrich",,,NOT FOUND
"Lipatti,  Dinu",1917,1950,Romanian
"Maderna,  Bruno",1920,1973,Italian
"Robinson,  Earl",1910,1991,
"Malotte,  Albert  Hay",1895,1964,North American
"Matheson,  James",1796,1878,
"Norman,  Andrew",1980,9999,English
"Hailstork,  Adolphus",1941,1971,North American
"PUBLIQuartet,",,,NOT FOUND
"Anrooy,  Peter  G. Van",,,NOT FOUND
"Monk,  Thelonious",1917,1982,North American
"Whiting,  Richard",1461,1539,
"Ketterer,  Eugène",1831,1870,French
"LeFrak,  Karen",,,NOT FOUND
"Feldman,  Morton",1926,1987,North American
"Mignone,  Francisco",1897,1986,Brazilian
"De Lamarter,  Eric",,,NOT FOUND
"Eotvos [Eötvös],  Peter",1944,1962,Hungarian
"Hue [Huë],  Georges  Adolphe",,,NOT FOUND
"Curtis,  Ernesto Di",,,NOT FOUND
"Boyle,  George  Frederick",1886,1948,American
"Reicha,  Antoine(-Joseph)",,,NOT FOUND
"Henschel,  Sir  George",1850,1934,Austro-German
"Murail,  Tristan",1947,9999,French
"Egner,  Phillip",,,NOT FOUND
"Daugherty,  Michael",1954,1988,North American
"Coates,  Eric",1886,1957,English
"Schillings,  Max  Von",,,NOT FOUND
"Frescobaldi,  Girolamo",1583,1643,Italian
"Abt,  Franz",1819,1885,Austro-German
"De Curtis,  Ernesto",1875,1937,Italian
"Jobim,  Antônio  Carlos (""Tom"")",,,NOT FOUND
"Baker,  David  J.",1792,1869,North American
"Bjarnason,  Daniel [Daníel]",1979,2010,Iceland
"Pacini,  Giovanni",1796,1867,Italian
"Braunfels,  Walter",1882,1954,Austro-German
"Piket,  Frederick",,,NOT FOUND
"Crawford,  Ruth  Porter",1901,1953,North American
"Ghedini,  Giorgio  Federico",1892,1965,North American
"Warlock,  Peter",1894,1930,English
"Turnage,  Mark-Anthony",1960,9999,English
"Tilzer,  Albert Von",1878,1956,North American
"Jongen,  Joseph",1873,1953,French
"Stange,  Max",,,NOT FOUND
"Dalbavie,  Marc-André",1961,1985,French
"Arutunian,  Alexander",1920,2012,Russian
"Guaraldi,  Vince",1928,1976,North American
"Friml,  Rudolf",1879,1972,Czech
"Hubay,  Jeno",1858,1937,Austro-German
"Ballantine,  Edward",1886,1971,North American
"Bellison,  Simeon",1881,1953,North American
"Bull,  Ole",1810,1880,Nordic
"Cowen,  Sir  Frederic  Hymen",,,NOT FOUND
"Ward,  Robert",1917,2013,
"Thuille,  Ludwig",1861,1907,Austro-German
"Thome [Thomé],  Francis",1850,1909,French
"Roentgen [Röntgen],  Julius",1855,1932,Dutch
"Riegel,  Heinrich  Joseph",,,NOT FOUND
"Amram,  David",1930,9999,North American
"Kolb,  Barbara",1939,1961,North American
"Gale,  Jack",1899,1975,Australian
"Huss,  Henry  Holden",1862,1953,American
"Spoliansky,  Mischa",1898,1985,Russian
"Clapp,  Philip  Greeley",1888,1954,North American
"Kilar,  Wojciech",1932,2013,North American
"Johnson,  Hall",1888,1970,North American
"Lotti,  Antonio",1667,1740,Italian
"Wilhelmj,  August  Daniel Ferdinand",,,NOT FOUND
"Schubert - Berio ,  Franz - Luciano",,,NOT FOUND
"Hillborg,  Anders",1954,9999,
"Dittersdorf,  Karl  Von",,,NOT FOUND
"Schmidt,  Franz",1874,1939,Hungarian
"Sakho,  Hawa",,,NOT FOUND
"Lubetsky,  Maya",,,NOT FOUND
"Rankin,  Rimari",,,NOT FOUND
"Fiorillo,  Dante",,,NOT FOUND
"Ritter,  Frederic  Louis",1834,1891,French
"Ezekwenna,  Chibuzo ""Chi-chi""",,,NOT FOUND
"Ewazen,  Eric",1954,9999,North American
"Ravina,",0,9999,
"Zeller,  Karl",1842,1898,Austro-German
"Grever,  Maria",1885,1951,Mexican
"Norgard [Nørgård],  Per",1932,9999,Danish
"Niles,  John  Jacob",1892,1980,North American
"Krug,  Arnold",1849,1904,Austro-German
"Strickland,  Lily",1884,1958,North American
"Hageman,  Richard",1881,1966,American
"Igudesman,  Aleksey",1973,9999,Austro-German
"Speaks,  Oley",1874,1948,North American
"Garland,  Joseph  C.",1903,1977,North American
"Leclair,  Jean  Marie",,,NOT FOUND
"Kay,  Hershy",1919,1981,North American
"Obradors,  Fernando",1897,1945,Spanish
"Fuchs,  H.",1948,9999,North American
"Sebesky,  Don",1937,9999,North American
"Lacombe,  Louis",1818,1884,French
"Rex,  Charles  Gordon",,,NOT FOUND
"Sanjuan,  Pedro",,,NOT FOUND
"Wegh,  Claire",,,NOT FOUND
"Micic,  Mia",,,NOT FOUND
"Kurtag [Kurtág],  Georgy [György]",,,NOT FOUND
"Stamitz,  Johann  Wenzel Anton",1717,1757,Austro-German
"Reineke,  Steven",1970,9999,
"Picker,  Tobias",1954,9999,North American
"Guion,  David  Wendel F.",,,NOT FOUND
"Jarrell,  Michael",1958,1982,
"Elbel,  Louis",1898,1907,
"Banfield,  Raffaelo de",,,NOT FOUND
"Dykes,  John  Bacchus",1823,1876,English
"Kozeluch,  Leopold  Anton",1747,1818,Czech
"Schwartz,  Stephen",1941,1948,
"Harkness,  Rebecca",,,NOT FOUND
"Hague,  Albert",1920,2001,American
"Rossellini,  Renzo",1908,1982,
"Clarke,  Herbert  Lincoln",1867,1945,North American
"Ran,  Shulamit",1949,1990,North American
"Montsalvatge,  Xavier",1912,2002,Spanish
"Reid,  Billy",1857,1940,
"Harris,  Gavin",2005,9999,
"Nin,  Joachin",,,NOT FOUND
"Koetsier,  Jan",1911,2006,Dutch
"Berger,  Arthur",1933,1912,
"Hupfeld,  Herman",1894,1951,North American
"Bulow,  Hans  Von",,,NOT FOUND
"Bacalov,  Luis  Enrique",1933,2017,Italian
"Poniewozik,  Milo",,,NOT FOUND
"Muse,  Clarence",1889,1979,North American
"Mayuzumi,  Toshiro",1929,1997,Japanese
"Zorn,  John",1953,1987,North American
"Harrison,  Lou",1917,2003,North American
"Malneck,  Matty",1903,1981,North American
"Parry,  Sir  Charles  Hubert H.",,,NOT FOUND
"Heller,  Stephen [István]",1813,1888,Hungarian
"Stock,  David",1939,2015,North American
"Van Heusen,  Jimmy",1913,1990,North American
"Martirano,  Salvatore",1927,1995,North American
"Dahl,  Ingolf",1912,1970,American
"Egk,  Werner",1901,1983,Austro-German
"Caesar,  Irving",1895,1996,North American
"Bach,  Wilhelm  Friedemann",1710,1784,Austro-German
"Pintscher,  Matthias",1971,9999,Austro-German
"Mengelberg,  Rudolf",,,NOT FOUND
"Estrella,  Marisol",,,NOT FOUND
"Adolphe,  Julia",1988,2016,North American
"Rheinberger,  Joseph",1839,1901,
"Kelley,  Daniel",1843,1905,
"Vidal,  Paul  Antonin",1863,1931,French
"Hata,  Yusei",,,NOT FOUND
"Castiglioni,  Niccolò",1932,1996,Italian
"La Barbara,  Joan",1947,9999,North American
"Stradella,  Alessandro",1643,1682,Italian
"Nessler,  Viktor  Ernst",1841,1890,
"Davidovsky,  Mario",1934,2019,North American
"Aizenstadt,  David",,,NOT FOUND
"Dick,  Robert",1811,1866,
"Westmoreland,",0,9999,
"Koechlin,  Charles",1867,1950,French
"Markevitch,  Igor",1912,1983,Italian
"Ireland,  John",1911,2006,
"Davis,  Anthony",1993,2012,North American
"Doppler,  (Albert)  Franz",,,NOT FOUND
"Jolson,  Al",1886,1950,North American
"Green,  Arthur  N.",,,NOT FOUND
"Tcherepnin,  Alexander",1899,1977,Russian
"Sharp,  Earl  Cranston",,,NOT FOUND
"Lisle,  Claude-Joseph  R. De",,,NOT FOUND
"Nesvadba,  Josef",1926,2005,English
"Galesi,  Julian",,,NOT FOUND
"Guettel,  Adam",1964,9999,North American
"Chen,  Qigang",1951,1984,Chinese
"Bermel,  Derek",1967,9999,North American
"Rzewski,  Frederic",1938,9999,North American
"Padilla,  José",1829,1896,Spanish
"Horst,  Louis",1884,1964,
"Stokowski,  Leopold",1882,1977,Polish
"Pagan,  Abraham",,,NOT FOUND
"Caplet,  Andre [André]",1878,1925,French
"Scalero,  Rosario",1870,1954,Italian
"Mihalovici,  Marcel",1898,1985,French
"Nabokov,  Nicolas",1903,1978,Russian
"Fernandez Arbos,  Enrique",1863,1939,Spanish
"Dargomiszky,  Alexander",,,NOT FOUND
"Celestin,  Austin",,,NOT FOUND
"Kelley,  Edgar  Stillman",1857,1944,North American
"Rosenblatt,  Y.",,,NOT FOUND
"Konoye,  Hidemaro",1898,1973,Japanese
"Rechtman,  Ilan",1963,9999,
"Maurer,  Ludwig  Wilhelm",1789,1878,Austro-German
"Lipinsky,  Karl  Joseph",,,NOT FOUND
"Murray,  Lyn",1909,1989,
"Bellini,  Renato",,,NOT FOUND
"Street,  Tison",1943,1951,North American
"Klughardt,  August",1847,1902,Austro-German
"Chaminade,  Cécile",1857,1944,French
"Grisey,  Gerard",1946,1998,French
"David,  Ferdinand",1810,1873,
"Donostia,  Padre  (San Sebastian, P. Jose Antonio ne Zulaica)",,,NOT FOUND
"Addinsell,  Richard",1904,1977,English
"Dodd,  Jimmie",1910,1964,North American
"Malats,  Joaquin",,,NOT FOUND
"Zador,  Eugen",,,NOT FOUND
"Hanley,  James  F.",1892,1942,North American
"Read,  Gardner",1913,2005,North American
"Haieff,  Alexei",1914,1994,North American
"Artsibushev,  Nikolai  Vassilievitch",,,NOT FOUND
"Miyagi,  Michio",1894,1956,Japanese
"Zelenka,  Jan  Dismas",1679,1745,Czech
"Moske,  Nina",,,NOT FOUND
"Herbert,  Rajon",,,NOT FOUND
"Sichel,  John",1937,2005,English
"Schuyler,  Philippa  Duke",1931,1967,North American
"Mannes,  Nathan",,,NOT FOUND
"Soderman [Söderman],  August",1832,1876,Nordic
"Fujikura,  Dai",1977,9999,Japanese
"Moravec,  Paul",1957,2004,North American
"Paunio,  Pyry",,,NOT FOUND
"Rivier,  Jean",1896,1987,French
"Tsypin,  Vladimir",,,NOT FOUND
"Emmett,  Daniel  Decatur",1815,1904,North American
"Press,  Jacques",,,NOT FOUND
"Infante,  Manuel",1883,1958,Spanish
"Elkjer,  Robert",,,NOT FOUND
"Sinopoli,  Giuseppe",1946,2001,Italian
"Gontarcyk,  Nikita",,,NOT FOUND
"Bacharach,  Burt",1928,2014,North American
"Sibella,  Gabrielle",,,NOT FOUND
"Josten,  Werner",1885,1963,Austro-German
"Hartke,  Stephen",1952,2013,North American
"Donatoni,  Franco",1927,2000,Italian
"Mazzoli,  Missy",1980,2018,North American
"Rollins,  Walter  E.",1906,1973,North American
"Marcello,  Benedetto",1686,1739,Italian
"Pereira,  Joseph",0,9999,
"Eysler,  Edmund",1874,1949,Austro-German
"Costeley,  Guillaume",1530,1531,French
"Laucella,  Nicola",1882,1952,North American
"Stringham,  Edwin  S.",,,NOT FOUND
"Kravath,  Lilly",,,NOT FOUND
"Tubin,  Eduard",1905,1982,Estonian
"Fesca,  Alexander  (Ernst)",,,NOT FOUND
"Mills,  Sebastian  Bach",1839,1898,North American
"Rietz,  Julius",1812,1877,Austro-German
"Villegas,  Mondriana",,,NOT FOUND
"Fisher,  Fred",1875,1942,American
"Somervell,  Sir  Arthur",,,NOT FOUND
"Brant,  Henry",1913,2008,American
"Layton,  Turner",1894,1978,North American
"Lieurance,  Thurlow",1878,1963,North American
"Bruneau,  Alfred",1857,1934,French
"Novacek,  Ottokar  (Eugen)",,,NOT FOUND
"Schenck,  Elliott",,,NOT FOUND
"Arancio,  Julia",,,NOT FOUND
"Thorvaldsdottir,  Anna",1977,2012,
"Newman,  Alfred",1924,2019,
"Joachim,  Joseph",1831,1907,Hungarian
"Herman,  Jerry",1931,2009,North American
"Nick,  Edmund",1891,1891,Austro-German
"Sgambati,  Giovanni",1841,1914,Italian
"Duke,  Vernon",1903,1969,North American
"Eichheim,  Henry",1870,1942,North American
"Kamen,  Michael",1948,2003,North American
"Vitols,  Jazeps",1863,1948,Austro-German
"McKinley,  Carl",1895,1966,North American
"Salieri,  Antonio",1750,1825,Italian
"Benedict,  Jules",1879,1948,
"De Paul,  Gene",1919,1988,North American
"Westlake,  Nigel",1958,9999,Australian
"Goldbeck,  Robert",,,NOT FOUND
"Hall,  Guy",,,NOT FOUND
"Bernstein,  Elmer",1922,2004,North American
"Katscher,  Robert",,,NOT FOUND
"Rumshinsky,  Joseph",1881,1956,American
"Vejvanovsky,  Pavel  Josef",1633,1639,Czech
"Lange,  Samuel  de, Jr.",,,NOT FOUND
"Clementi,  Muzio",1752,1832,English
"Horsman,  Edward  Imeson, Jr.",,,NOT FOUND
"Gardel,  Carlos",1890,1935,French
"Conus,  Jules",1869,1942,Russian
"Bagley,  Edwin  Eugene",1857,1922,North American
"Bochsa,  Robert  N. C.",,,NOT FOUND
"Dedrick,  Christopher",0,9999,
"Mancini,  Henry",1924,1994,North American
"Trojahn,  Manfred",1949,9999,Austro-German
"Huber,  Hans",1852,1921,
"Brey,  Carter",1954,1981,North American
"Eckert,  Karl",1820,1879,Austro-German
"Hanson,  Graydon",,,NOT FOUND
"Lees,  Benjamin",1924,2010,North American
"Borishansky,  Elliot",,,NOT FOUND
"Levenson,  Boris",1884,1947,American
"Taslima,  Farah",,,NOT FOUND
"Gosfield,  Annie",1960,2012,
"Antheil,  George",1900,1959,North American
"Holland,  M.  Roger, III",,,NOT FOUND
"Ivanovici,  Ion",1845,1902,Romanian
"Mana Zucca,",1885,1981,North American
"Hertel,  Johann  Wilhelm",1727,1789,Austro-German
"Wolfe,  Julia",1958,2015,North American
"Collins,  Anthony",1676,1729,English
"Haubiel,  Charles",1892,1978,North American
"Botti,  Susan",,,NOT FOUND
"Rose,  Peter de",1900,1953,North American
"Nono,  Luigi",1924,1990,Italian
"Coolidge,  Elizabeth  Sprague",1864,1953,North American
"Ruo,  Huang",1976,9999,Chinese
"McGlaughlin,  William",1943,1981,North American
"Hoeller,  York",1944,9999,Austro-German
"Moya,  Antoni  Perez",1884,1964,
"Macero,  Teo",1925,2008,North American
"Sonzogno,  Giulio  Cesare",,,NOT FOUND
"Beaser,  Robert",1954,9999,North American
"Drummond,  Dean",1949,2013,North American
"Bates,  Mason",1977,9999,North American
"Fiedler,  Max",1859,1939,Austro-German
"Barry,  John",0,9999,
"Loewe,  Johann  Carl",,,NOT FOUND
"Basie,  Count",1904,1984,North American
"Gilbert,  David",0,9999,
"Iwamoto,  Yuki",,,NOT FOUND
"Garner,  Erroll",1923,1977,North American
"Pasek,  Benj",2007,9999,North American
"Taneyev,  Sergei",1856,1915,Russian
"Brown,  Nacio  Herb",1896,1964,North American
"Davis,  Jimmie",1899,2000,North American
"Auerbach,  Lera",1973,9999,American
"Widmann,  Jorg [Jörg]",1973,2018,Austro-German
"Zimmermann,  Bernd  Alois",1918,1970,Austro-German
"Green,  DeAnte",,,NOT FOUND
"Williams,  Aleaster",,,NOT FOUND
"Goodman,  Al",1890,1972,
"Bresnick,  Martin",1946,9999,
"Kahane,  Gabriel",1981,9999,North American
"Weber-Berlioz,",,,NOT FOUND
"Umezaki,  Kojiro",,,NOT FOUND
"Lee,  Dai-Keong",1915,2005,North American
"Palau Boix,  Manuel",1893,1967,Spanish
"Yim,  Jay  Alan",1958,1994,North American
"Raksin,  David",1912,2004,North American
"Argento,  Dominick",1927,2019,North American
"Vitali,  Tomaso  Antonio",1663,1745,Italian
"Reissiger,  Karl  Gottlieb",1798,1859,Austro-German
"Hill,  Warren",2015,9999,
"Draeseke,  Felix",1835,1913,Austro-German
"Gaubert,  Philippe",1879,1941,French
"Guiraud,  Ernest",1837,1892,French
"Saperton,  David",1889,1970,North American
"Baron,  Maurice",,,NOT FOUND
"Acqua,  Eva dell'",,,NOT FOUND
"Giordani,  Giuseppe",1751,1798,Italian
"Frankel,  Ari",,,NOT FOUND
"Kempter,  Lothar",1844,1918,Austro-German
"Noble,  Ray",1903,1974,English
"Riley,  Terry",1935,1964,North American
"Bruce,  David",0,9999,
"Martino,  Donald",1931,2005,North American
"Janssen,  Werner",1899,1990,North American
"Falcon [Falcón] Sanabria,  Juan  José",,,NOT FOUND
"Brooks,  Calie",,,NOT FOUND
"Bjork [Björk],",1965,1987,
"Babin,  Victor",1909,1992,Russian
"Novick,  Nathan",,,NOT FOUND
"Fischer,  J.",1771,1853,Austro-German
"O'Hara,  Geoffrey",1882,1967,American
"Durante,  Francesco",1684,1755,
"Cunningham,  Arthur",1928,1997,North American
"Duble,  Charles  Edward",,,NOT FOUND
"Carrick,  Richard",1971,2015,North American
"Dragoi,  Sabin  V(asile)",,,NOT FOUND
"Marx,  Joseph",1882,1964,Austro-German
"Perry,  Julia",1924,1979,North American
"Colgrass,  Michael",1932,2019,North American
"Bassett,  Leslie",1923,2016,North American
"Botti,  Chris",1962,2013,North American
"Miki,  Minoru",1930,2011,Chinese
"Heuberger,  Richard",1850,1914,Austro-German
"Alexander,  Andre",1967,1989,American
"Oliver,  Melvin ""Sy""",,,NOT FOUND
"Mossman,  Ted",,,NOT FOUND
"Wallace,",0,9999,
"Sainton,  Prosper",1813,1890,French
"Fischer,  Carl",1905,1963,
"Galas [Galás],  Diamanda",1955,9999,North American
"Perez-Freire,  Osman",,,NOT FOUND
"Becton,  Shelton  L.",,,NOT FOUND
"Theofanidis,  Christopher",1967,1994,North American
"Jacob,  Gordon",1895,1984,English
"Andreae,  Volkmar",1879,1962,
"Rolla,  Allesandro",,,NOT FOUND
"Cannon,  Hughie",1877,1912,North American
"Baerman,  Heinrich  Joseph",,,NOT FOUND
"Gabrieli,  Andrea",1532,1533,Italian
"Horowitz,  Vladimir",1903,1989,American
"Buxtehude,  Dietrich",1637,1707,Danish
"Kurka,  Robert",1921,1957,North American
"Schroeder,  William",0,9999,
"Broome,  Edward",,,NOT FOUND
"Lortzing,  Albert",1801,1851,French
"Novak,  Vitezslav",1870,1949,Czech
"Dessau,  Paul",1894,1979,Austro-German
"Pinto,  Octavio",1890,1950,Brazilian
"Kalhor,  Kayhan",1963,9999,Persian
"Smalls,  Charlie",1943,1987,North American
"Hoover,  Duke",,,NOT FOUND
"Stoessel,  Albert",1894,1943,North American
"Mouquet,  Jules",1867,1946,French
"Graener,  Paul",1872,1944,Austro-German
"Guilmant,  Alexander",1837,1911,French
"Bielawa,  Lisa",1968,2009,North American
"Shaw,  Lowell",,,NOT FOUND
"Goltermann,  Georg  Eduard",,,NOT FOUND
"Holyoke,  Samuel",1762,1820,North American
"Detrick,  Zachary",,,NOT FOUND
"Freire,  Osman  Perez",1878,1930,
"Merceron,",0,9999,North American
"Tom,  Emma",1969,2001,Australian
"Skrowaczewski,  Stanislaw",1923,2017,North American
"Berners,  Lord",1883,1950,English
"Kent,  Walter",1911,1994,North American
"Sweet,  Reginald",,,NOT FOUND
"Subotnick,  Morton",1933,1967,North American
"Rathbone,  George",,,NOT FOUND
"Perapaskero,  Sapo",,,NOT FOUND
"Godowsky,  Leopold",1870,1938,North American
"Rossi,  Francesco",1977,1991,
"Friedsell,  Louis",1863,1865,
"Nelson,  Rudolf",1878,1960,Austro-German
"Gossec,  Francois  Joseph",1734,1829,French
"Van Der Stucken,  Frank",,,NOT FOUND
"Homer,  Sidney",1864,1953,
"Anderson,  Paquita",,,NOT FOUND
"Oberthur,  Charles",1845,1924,French
"Mackey,  Steven",1956,9999,North American
"Pryor,  Arthur",1869,1942,
"Cheung,  Anthony",1952,2012,Chinese
"Loder,  George, Jr.",,,NOT FOUND
"Violette,  Wesley  La",1894,1978,North American
"Porter,  Quincy",1897,1966,North American
"Lyapunov,  Sergius  Mikhailovich",,,NOT FOUND
"Koussevitzky,  Serge",1874,1951,Russian
"Confrey,  Zez",1895,1971,North American
"Baum,  Parker",,,NOT FOUND
"Duvernoy,  Frederic  Nicolas",,,NOT FOUND
"Lessner,  George",,,NOT FOUND
"Lumbye,  Hans Christian",1810,1874,Danish
"Kubelik [Kubelík],  Rafael",1914,1996,Czech
"Palmer,  Robert",0,9999,
"Schnyder,  Daniel",1961,9999,
"Romberg,  Bernhard",1767,1841,Austro-German
"Gooch,  William",1681,1751,
"Tchesnokoff,  Pavel",,,NOT FOUND
"Goldfaden,  Abraham",1840,1908,Russian
"Rebikov,  Vladimir  Ivanovich",1866,1920,Russian
"Kirnberger,  Johann  Philipp",1721,1783,
"Mitchell,  Brian  Stokes",1957,2000,North American
"Karlowicz,  Mieczyslaw",1876,1909,Polish
"Altman,  Arthur",1910,1994,North American
"Schultze,  Johann  Christian",,,NOT FOUND
"Serocki,  Kazimierz",1922,1981,Polish
"Williams,  Hank",1923,1953,North American
"Bolzoni,  Giovanni",1841,1919,
"Monterde,  Bernardino  Bautista",,,NOT FOUND
"Sierra,  Roberto",1953,9999,
Beal,0,9999,
"Roland-Manuel,  Alexis",1891,1966,French
"Field,  John",1886,1979,English
"Destouches,  Andre  Cardinal",1672,1749,French
"Klenner,  John",1899,1955,American
"New Orleans Rhythm Kings,",0,9999,
"Levine,  Julius",,,NOT FOUND
"Dubin,  Al",1891,1945,North American
"Westerhout,  Nicola  van",1857,1898,Italian
"Doret,  Gustave",1866,1943,
"Liao,  Shuwen",,,NOT FOUND
"Robin,  Yann",,,NOT FOUND
"Bull,  John",0,9999,
Perlmutter,1845,1941,Austro-German
"Howe,  Mary",1882,1964,North American
"Davies,  Tansy",1973,1996,English
"Lorenz,  Carl",1913,1993,Austro-German
"Donaudy,  Stefano",1879,1925,Italian
"Meij,  Johan de",1953,9999,Dutch
"Bernie,  Ben",1891,1943,North American
"Sandidge,  Daniel",,,NOT FOUND
"Benda,  Jirí (Georg)  Antonín (Anton)",,,NOT FOUND
"McPhee,  Colin",1900,1964,North American
"Lash,  Hannah",1981,9999,North American
"Harvey,  Jonathan",1939,2012,
"Durakovic,  Amina",,,NOT FOUND
"Mills,  Charles",0,9999,
"Slonimsky,  Nicolas",1894,1995,American
"Mingus,  Charles",1922,1979,North American
"Kjerulf,  Halfdan",1815,1868,Nordic
"Arotsky,  Sheridan",,,NOT FOUND
"Otterstrom,  Thorvald",,,NOT FOUND
"Spontini,  Gasparo",1774,1851,Italian
"Langgaard,  Rued",1893,1952,Danish
"Barrymore,  Lionel",1878,1954,North American
"Senfl,  Ludwig",1486,1542,
"Richman,  Lucas",1964,2010,North American
"Ergun,  Cenk",,,NOT FOUND
"Zilcher,  Hermann",1881,1948,Austro-German
"Kessler,  James C.",,,NOT FOUND
"Chajes,  Julius",,,NOT FOUND
"Andersen,  Joachim",1847,1909,Danish
"Don Alfonso-Carriola,",,,NOT FOUND
"Bazzini,  Antonio",1818,1897,Italian
"Ellstein,  Abraham",1907,1963,North American
"Lindner,  August",,,NOT FOUND
"Bohm,  Carl",1844,1920,Austro-German
"Weber,  Ben",1916,1979,
"Calvisius,  Sethus",1556,1615,Austro-German
"Brubeck,  Howard",1916,1993,
"Nowowiejski,  Felix",,,NOT FOUND
"Mourant,  Walter",,,NOT FOUND
"Tobias,  Charles",1898,1970,North American
"Dowland,  John",1563,1626,English
"Thomas,  Arthur  Goring",1850,1892,English
"Meyerowitz,  Jan",1913,1998,American
"Gerhard,  Roberto",1896,1970,Spanish
"Zhao,  Lin",1932,1968,Chinese
"Svane,  Randall",1955,2005,North American
"Delamarter,  Eric",,,NOT FOUND
"Jensen,  Ludwig  Irgens",,,NOT FOUND
"Halffter,  Ernesto",1905,1989,Spanish
"Servais,  Adrien  Francois",1807,1866,
"Osgood,  James  R.",1836,1892,North American
"Prestini,  Paola",2011,9999,
"Carmichael,  Hoagy",1899,1981,North American
"Araujo,  Benjamin",1900,1928,Portuguese
"Piovani,  Nicola",1946,1998,English
"Djawadi,  Ramin",1974,2008,Persian
"Bronsart,  Hans  Von",,,NOT FOUND
"Rogalski,  Theodor",,,NOT FOUND
