composerName,birthYear,deathYear,nationality
"Chadwick,  George  Whitefield",1854,1931,North American
"Carter,  Elliott",1908,2012,North American
"Wolf-Ferrari,  Ermanno",1876,1948,Italian
"Rameau,  Jean-Philippe",1683,1683,French
"Thomson,  Virgil",1896,1989,North American
"Martinu,  Bohuslav",1890,1959,Czech
"Goldmark,  Rubin",1872,1936,North American
"Chavez [Chávez],  Carlos",1899,1978,Mexican
"Stolz,  Robert",1880,1975,Austro-German
"Janacek [Janácek],  Leoš",,,Czech
"Piston,  Walter",1894,1976,North American
"Sarasate,  Pablo  de",1844,1908,Spanish
"Holst,  Gustav",1874,1934,English
"Rouse,  Christopher",1949,2019,
"Bellini,  Vincenzo",1801,1835,Italian
"Druckman,  Jacob",1928,1996,North American
"Casella,  Alfredo",1883,1947,Italian
"Machado,  Roger",1974,1510,
"Gretry [Grétry],  Andre [André]  Ernest Modeste",,,NOT FOUND
"Griffes,  Charles  Tomlinson",1884,1920,North American
"Loeffler,  Charles  Martin",1861,1935,American
"Corelli,  Arcangelo",1653,1713,Italian
"Mascagni,  Pietro",1863,1945,Italian
"Strauss,  Johann, Jr. & Josef",,,NOT FOUND
"Gliere [Glière],  Reinhold",1875,1874,Austro-German
"Ginastera,  Alberto",1916,1983,Spanish
"Varese [Varèse],  Edgard",1883,1965,French
"Berio,  Luciano",1925,2003,Italian
"Ponchielli,  Amilcare",1834,1886,Italian
"Suppe [Suppé],  Franz  Von",1819,1895,Austro-German
"Lindberg,  Magnus",1958,2009,Nordic
"Carpenter,  John  Alden",1876,1951,North American
"Telemann,  Georg  Philipp",1681,1767,Austro-German
"Gruber,  Franz  Xaver",1787,1863,Austro-German
"Strauss,  Johann, Sr.",,,NOT FOUND
"Korngold,  Erich",1897,1957,Austro-German
"Leoncavallo,  Ruggero",1857,1919,Italian
"Salonen,  Esa-Pekka",1958,9999,Nordic
"Granados,  Enrique",1867,1916,Spanish
"Turrin,  Joseph",,,NOT FOUND
"Kalman [Kálmán],  Emmerich",1882,1953,Hungarian
"Corigliano,  John, Jr.",,,North American
"Pierne [Pierné],  Gabriel",1863,1937,French
"Duparc,  Henri",0,9999,French
"Ward,  Samuel  Augustus",1848,1903,North American
"Damrosch,  Walter",1862,1950,American
"Creston,  Paul",1906,1985,North American
"Herrmann,  Bernard",1911,1975,North American
"Loewe,  Frederick",1901,1988,Austro-German
"Loesser,  Frank",1910,1969,North American
"Schuller,  Gunther",1925,2015,North American
"Unknown,",0,9999,
"Dubensky,  Arkady",,,NOT FOUND
"Szymanowski,  Karol",1882,1937,Polish
"Penderecki,  Krzysztof",1933,1959,Polish
"Svendsen,  Johan",1840,1911,Nordic
"Lutoslawski,  Witold",1913,1994,Polish
"Strauss,  Josef",1827,1870,Austro-German
"Foss,  Lukas",1922,2009,American
"Busoni,  Ferruccio",1866,1924,Italian
"Turina,  Joaquin",1882,1949,Spanish
"Bach,  Johann  Christian",1735,1782,Austro-German
"Boulez,  Pierre",1925,2016,French
"Gottschalk,  Louis  Moreau",1829,1869,North American
"Hanson,  Howard",1896,1981,North American
"Couperin,  Francois [François]",1668,1733,French
"Zwilich,  Ellen  Taaffe",1939,1994,North American
"Monteverdi,  Claudio",1567,1643,Italian
"Gade,  Niels",1817,1890,Danish
"Damrosch,  Leopold",1832,1885,American
"Reznicek,  Emil  Nikolaus von",1860,1945,Austro-German
"Hummel,  Johann",1778,1837,Austro-German
"Gubaidulina,  Sofia",1931,9999,Russian
"Grofe [Grofé],  Ferde",1892,1972,North American
"Paderewski,  Ignacy  Jan",1860,1941,Polish
"Godard,  Benjamin",1849,1895,French
"Hill,  Patty  and Mildred",,,NOT FOUND
"Stransky,  Josef",1872,1936,Czech
"Satie,  Erik",1866,1925,French
"Waldteufel,  Emil",1837,1915,French
"Diamond,  David",1915,2005,
"Sinigaglia,  Leone",1868,1944,Italian
"Still,  William  Grant",1895,1978,North American
"Sieczynski,  Rudolf",1879,1952,Austro-German
"Coward,  Noël",1899,1973,English
"Pizzetti,  Ilderbando",,,NOT FOUND
"Dutilleux,  Henri",1916,2013,French
"Bax,  Sir  Arnold",1883,1953,English
"Mason,  Daniel  Gregory",1873,1953,North American
"Schnittke,  Alfred",1934,1998,Austro-German
"Ganz,  Rudolph",1877,1972,North American
"Rorem,  Ned",1923,1976,North American
"Kander,  John",1927,1966,North American
"Adam,  Adolphe  Charles",1803,1856,French
"Cornelius,  Peter",1824,1874,Austro-German
"Stanford,  Sir  Charles  Villiers",1852,1924,
"Pierpont,  James  Lord",1822,1893,
"Mulligan,  Gerry",1927,1996,North American
"Coleridge-Taylor,  Samuel",1875,1912,English
"Martucci,  Giuseppe",1856,1909,Italian
"Gilbert,  Henry  F.",1868,1928,North American
"Foster,  Stephen  Collins",1826,1864,North American
"Cimarosa,  Domenico",1749,1801,Italian
"Arlen,  Harold",1905,1986,North American
"Gretchaninoff,  Alexander",1864,1956,Russian
"Goossens,  Eugene",1845,1906,
"Hovhaness,  Alan",1911,2000,North American
"Litolff,  Henry  Charles",1818,1891,
"Styne,  Jule",1905,1994,American
"Bayer,  Joseph",1846,1900,
"Cowell,  Henry  Dixon",1897,1965,North American
"Castelnuovo-Tedesco,  Mario",1895,1968,Italian
"Skalkottas,  Nikos",1904,1949,Greek
"Cilea,  Francesco",1866,1950,Italian
"Dello Joio,  Norman",1913,2008,North American
"Vilbac,  Alphonse Charles Renaud  de",,,NOT FOUND
"Sheng,  Bright",1955,1982,North American
"Stockhausen,  Karlheinz",1928,2007,Austro-German
"Steffe,  William",1830,1890,
"Rodrigo,  Joaquín",1901,1999,Spanish
"Rieti,  Vittorio",1898,1994,Italian
"Auber,  Daniel-François",,,NOT FOUND
"Previn,  Sir  André",1929,2019,American
"Wade,  John  Francis",1711,1786,English
"Piazzolla,  Astor",1921,1992,Spanish
"Fernandez [Fernândez],  Oscar  Lorenzo",1897,1948,Brazilian
"Crumb,  George",1929,1970,North American
"Pergolesi,  Giovanni  Battista",1710,1736,Italian
"Volkmann,  Friedrich  Robert",1815,1883,Austro-German
"Bach,  Carl  Philipp Emanuel",1714,1788,Austro-German
"Mennin,  Peter",1923,1983,North American
"Kalinnikov,  Vassili",,,NOT FOUND
"Carpenter,  Mary  Chapin",1958,1987,North American
"Pirani,  Eugenio  di",,,NOT FOUND
"Kirchner,  Leon",1919,2009,North American
"Rabaud,  Henri",1873,1949,French
"Byrd,  William",1539,1543,English
"Arensky,  Anton  Stepanovich",1861,1906,Russian
"Takemitsu,  Toru",1930,1996,Japanese
"Toch,  Ernst",1887,1964,Austro-German
"Popper,  David",1843,1913,Austro-German
"Labate,  Bruno",,,NOT FOUND
"Martin,  Frank",1878,1942,
"Riegger,  Wallingford",1885,1961,North American
"Thompson,  Randall",1899,1984,North American
"Lecuona,  Ernesto",1895,1963,Spanish
"Straus,  Oscar",1870,1954,
