,birthYear,deathYear
"Nicolai,  Otto",1810.0,1849.0
"Chadwick,  George  Whitefield",1854.0,1931.0
"Carter,  Elliott",1908.0,2012.0
"Wolf-Ferrari,  Ermanno",1876.0,1948.0
"Rameau,  Jean-Philippe",1683.0,1683.0
"Thomson,  Virgil",1896.0,1989.0
"Martinu,  Bohuslav",1890.0,1959.0
"Goldmark,  Rubin",1872.0,1936.0
"Chavez [Chávez],  Carlos",1899.0,1978.0
"Stolz,  Robert",1880.0,1975.0
"Janacek [Janácek],  Leoš",,
"Piston,  Walter",1894.0,1976.0
"Sarasate,  Pablo  de",1844.0,1908.0
"Holst,  Gustav",1874.0,1934.0
"Rouse,  Christopher",1949.0,2019.0
"Bellini,  Vincenzo",1801.0,1835.0
"Druckman,  Jacob",1928.0,1996.0
"Casella,  Alfredo",1883.0,1947.0
"Machado,  Roger",1974.0,1510.0
"Gretry [Grétry],  Andre [André]  Ernest Modeste",,
"Griffes,  Charles  Tomlinson",1884.0,1920.0
"Loeffler,  Charles  Martin",1861.0,1935.0
"Corelli,  Arcangelo",1653.0,1713.0
"Mascagni,  Pietro",1863.0,1945.0
"Strauss,  Johann, Jr. & Josef",,
"Gliere [Glière],  Reinhold",1875.0,1874.0
"Ginastera,  Alberto",1916.0,1983.0
"Varese [Varèse],  Edgard",1883.0,1965.0
"Berio,  Luciano",1925.0,2003.0
"Ponchielli,  Amilcare",1834.0,1886.0
"Suppe [Suppé],  Franz  Von",1819.0,1895.0
"Lindberg,  Magnus",1958.0,2009.0
"Carpenter,  John  Alden",1876.0,1951.0
"Telemann,  Georg  Philipp",1681.0,1767.0
"Gruber,  Franz  Xaver",1787.0,1863.0
"Strauss,  Johann, Sr.",,
"Korngold,  Erich",1897.0,1957.0
"Leoncavallo,  Ruggero",1857.0,1919.0
"Salonen,  Esa-Pekka",1958.0,9999.0
"Granados,  Enrique",1867.0,1916.0
"Turrin,  Joseph",,
"Kalman [Kálmán],  Emmerich",1882.0,1953.0
"Corigliano,  John, Jr.",,
"Pierne [Pierné],  Gabriel",1863.0,1937.0
"Duparc,  Henri",0.0,9999.0
"Ward,  Samuel  Augustus",1848.0,1903.0
"Damrosch,  Walter",1862.0,1950.0
"Creston,  Paul",1906.0,1985.0
"Herrmann,  Bernard",1911.0,1975.0
"Loewe,  Frederick",1901.0,1988.0
"Loesser,  Frank",1910.0,1969.0
"Schuller,  Gunther",1925.0,2015.0
"Unknown,",0.0,9999.0
"Dubensky,  Arkady",,
"Szymanowski,  Karol",1882.0,1937.0
"Penderecki,  Krzysztof",1933.0,1959.0
"Svendsen,  Johan",1840.0,1911.0
"Lutoslawski,  Witold",1913.0,1994.0
"Strauss,  Josef",1827.0,1870.0
"Foss,  Lukas",1922.0,2009.0
"Busoni,  Ferruccio",1866.0,1924.0
"Turina,  Joaquin",1882.0,1949.0
"Bach,  Johann  Christian",1735.0,1782.0
"Boulez,  Pierre",1925.0,2016.0
"Gottschalk,  Louis  Moreau",1829.0,1869.0
"Hanson,  Howard",1896.0,1981.0
"Couperin,  Francois [François]",1668.0,1733.0
"Zwilich,  Ellen  Taaffe",1939.0,1994.0
"Monteverdi,  Claudio",1567.0,1643.0
"Gade,  Niels",1817.0,1890.0
"Damrosch,  Leopold",1832.0,1885.0
"Reznicek,  Emil  Nikolaus von",1860.0,1945.0
"Hummel,  Johann",1778.0,1837.0
"Gubaidulina,  Sofia",1931.0,9999.0
"Grofe [Grofé],  Ferde",1892.0,1972.0
"Paderewski,  Ignacy  Jan",1860.0,1941.0
"Godard,  Benjamin",1849.0,1895.0
"Hill,  Patty  and Mildred",,
"Stransky,  Josef",1872.0,1936.0
"Satie,  Erik",1866.0,1925.0
"Waldteufel,  Emil",1837.0,1915.0
"Diamond,  David",1915.0,2005.0
"Sinigaglia,  Leone",1868.0,1944.0
"Still,  William  Grant",1895.0,1978.0
"Sieczynski,  Rudolf",1879.0,1952.0
"Coward,  Noël",1899.0,1973.0
"Pizzetti,  Ilderbando",,
"Dutilleux,  Henri",1916.0,2013.0
"Bax,  Sir  Arnold",1883.0,1953.0
"Mason,  Daniel  Gregory",1873.0,1953.0
"Schnittke,  Alfred",1934.0,1998.0
"Ganz,  Rudolph",1877.0,1972.0
"Rorem,  Ned",1923.0,1976.0
"Kander,  John",1927.0,1966.0
"Adam,  Adolphe  Charles",1803.0,1856.0
"Cornelius,  Peter",1824.0,1874.0
"Stanford,  Sir  Charles  Villiers",1852.0,1924.0
"Pierpont,  James  Lord",1822.0,1893.0
"Mulligan,  Gerry",1927.0,1996.0
"Coleridge-Taylor,  Samuel",1875.0,1912.0
"Martucci,  Giuseppe",1856.0,1909.0
"Gilbert,  Henry  F.",1868.0,1928.0
"Foster,  Stephen  Collins",1826.0,1864.0
"Cimarosa,  Domenico",1749.0,1801.0
"Arlen,  Harold",1905.0,1986.0
"Gretchaninoff,  Alexander",1864.0,1956.0
"Goossens,  Eugene",1845.0,1906.0
"Hovhaness,  Alan",1911.0,2000.0
"Litolff,  Henry  Charles",1818.0,1891.0
"Styne,  Jule",1905.0,1994.0
"Bayer,  Joseph",1846.0,1900.0
"Cowell,  Henry  Dixon",1897.0,1965.0
"Castelnuovo-Tedesco,  Mario",1895.0,1968.0
"Skalkottas,  Nikos",1904.0,1949.0
"Cilea,  Francesco",1866.0,1950.0
"Dello Joio,  Norman",1913.0,2008.0
"Vilbac,  Alphonse Charles Renaud  de",,
"Sheng,  Bright",1955.0,1982.0
"Stockhausen,  Karlheinz",1928.0,2007.0
"Steffe,  William",1830.0,1890.0
"Rodrigo,  Joaquín",1901.0,1999.0
"Rieti,  Vittorio",1898.0,1994.0
"Auber,  Daniel-François",,
"Previn,  Sir  André",1929.0,2019.0
"Wade,  John  Francis",1711.0,1786.0
"Piazzolla,  Astor",1921.0,1992.0
"Fernandez [Fernândez],  Oscar  Lorenzo",1897.0,1948.0
"Crumb,  George",1929.0,1970.0
"Pergolesi,  Giovanni  Battista",1710.0,1736.0
"Volkmann,  Friedrich  Robert",1815.0,1883.0
"Bach,  Carl  Philipp Emanuel",1714.0,1788.0
"Mennin,  Peter",1923.0,1983.0
"Kalinnikov,  Vassili",,
"Carpenter,  Mary  Chapin",1958.0,1987.0
"Pirani,  Eugenio  di",,
"Kirchner,  Leon",1919.0,2009.0
"Rabaud,  Henri",1873.0,1949.0
"Byrd,  William",1539.0,1543.0
"Arensky,  Anton  Stepanovich",1861.0,1906.0
"Takemitsu,  Toru",1930.0,1996.0
"Toch,  Ernst",1887.0,1964.0
"Popper,  David",1843.0,1913.0
"Labate,  Bruno",,
"Martin,  Frank",1878.0,1942.0
