,birthYear,deathYear
"Goetz,  Hermann",1840.0,1876.0
"Thomas,  Augusta  Read",1964.0,9999.0
"Bossi,  Marco  Enrico",1861.0,1925.0
"Castellanos,  Carlos",,
"Parker,  Horatio",1863.0,1919.0
"Mosolov,  Alexander",1900.0,1973.0
"Gibbons,  Orlando",1583.0,1625.0
"Stock,  Frederick  A.",,
"Renwick,  Wilke",,
"Moreno Torroba,  Federico",1891.0,1982.0
"Bass,  Randol  Alan",,
"Hill,  Edward  Burlingame",1872.0,1960.0
"Nicode [Nicodé],  Jean  Louis",1853.0,1919.0
"Scheidt,  Samuel",1587.0,1654.0
"Pregel,  Boris",1893.0,1976.0
"Lewis,  John",1940.0,9999.0
"Matthews,  Colin",1946.0,9999.0
"Komzak,  Karl",1850.0,1905.0
"Anderson,  Julian",1967.0,9999.0
"Victoria,  Tomás  Luis de",1548.0,1611.0
"Porrino,  Ennio",1910.0,1959.0
"Blitzstein,  Marc",1905.0,1964.0
"Ernst,  Heinrich  Wilhelm",1812.0,1865.0
"Gaburo,  Kenneth",1926.0,1993.0
"Chueca,  Federico",1846.0,1908.0
"King,  Karl  Lawrence",1891.0,1971.0
"Kancheli,  Giya",1935.0,2019.0
"Low,  Leo",1878.0,1960.0
"Lvov,  Alexey",1653.0,1654.0
"Rose,  David",0.0,9999.0
"Chin,  Unsuk",1961.0,2004.0
"Casals,  Pablo",1876.0,1973.0
"Espejo,  Cesar",,
"Di Capua,  Rinaldo",,
"Castro,  Juan  José",1895.0,1968.0
"Reinhold,  Hugo",1854.0,1935.0
"Norpoth,  John-Paul/Jannina",,
"Moniuszko,  Stanislaw",1819.0,1872.0
"Pachelbel,  Johann",1653.0,1706.0
"Chavarri,  Eduardo  Lopez",,
"Schreiber,  Louis",,
"Cohan,  George  Michael",1878.0,1942.0
"Alabieff,  Alexander",,
"Warren,  Harry",1893.0,1981.0
"Medtner,  Nikolai",1880.0,1879.0
"Phile,  Philip",1734.0,1793.0
"Johnson,  Horace",1886.0,1966.0
"Tarrega,  Francisco",1852.0,1909.0
"Bridge,  Frank",1879.0,1941.0
"Rabiu,  Isai",,
"Hetu [Hétu],  Jacques",1938.0,2010.0
"Noskowski,  Sigismund",1846.0,1909.0
"Bemberg,  Herman",1859.0,1931.0
"Kreutzer,  Conradin",1780.0,1849.0
"Caccini,  Giulio",1551.0,1618.0
"Durufle [Duruflé],  Maurice",1902.0,1986.0
"Pugni,  Cesare",1802.0,1870.0
"Manfredini,  Francesco",1684.0,1762.0
"Zimmerman,  Charles  A.",1861.0,1916.0
"Ries,  Ferdinand",1784.0,1838.0
"Giacchino,  Michael",1967.0,9999.0
"Lehmann,  Liza",1862.0,1918.0
"Schwartz,  Arthur",1900.0,1984.0
"Ponce,  Manuel",1882.0,1948.0
"Stahlberg,  Fritz",,
"Janis,  Tim",0.0,9999.0
"Wagenaar,  Johan",1862.0,1941.0
"Stolzel [Stölzel],  Gottfried  Heinrich",1690.0,1749.0
"Rosenthal,  Manuel",1904.0,2003.0
"Bland,  James",1692.0,1693.0
"Pochon,  Alfred",1878.0,1959.0
"Shepherd,  Sean",,
"Arnold,  Sir  Malcolm",1921.0,2006.0
"McBride,  Robert",0.0,9999.0
"Merikanto,  Oskar",1868.0,1924.0
"Puts,  Kevin",1972.0,2012.0
"Danielpour,  Richard",1956.0,9999.0
"Strong,  George  Templeton",1820.0,1875.0
"Halvorsen,  Johan",1864.0,1935.0
"Hendrix,  Jimi",1942.0,1970.0
"Moscheles,  Ignaz",1794.0,1870.0
"Balfe,  Michael  William",1808.0,1870.0
"Schumann,  Clara",1819.0,1896.0
"Beach,  Amy",1867.0,1944.0
"Mollenhauer,  Friedrich",,
"Lipatti,  Dinu",1917.0,1950.0
"Maderna,  Bruno",1920.0,1973.0
"Robinson,  Earl",1910.0,1991.0
"Malotte,  Albert  Hay",1895.0,1964.0
"Matheson,  James",1796.0,1878.0
"Norman,  Andrew",1980.0,9999.0
"Hailstork,  Adolphus",1941.0,1971.0
"PUBLIQuartet,",,
"Anrooy,  Peter  G. Van",,
"Monk,  Thelonious",1917.0,1982.0
"Whiting,  Richard",1461.0,1539.0
"Ketterer,  Eugène",1831.0,1870.0
"LeFrak,  Karen",,
"Feldman,  Morton",1926.0,1987.0
"Mignone,  Francisco",1897.0,1986.0
"De Lamarter,  Eric",,
"Eotvos [Eötvös],  Peter",1944.0,1962.0
"Hue [Huë],  Georges  Adolphe",,
"Curtis,  Ernesto Di",,
"Boyle,  George  Frederick",1886.0,1948.0
"Reicha,  Antoine(-Joseph)",,
"Henschel,  Sir  George",1850.0,1934.0
"Murail,  Tristan",1947.0,9999.0
"Egner,  Phillip",,
"Daugherty,  Michael",1954.0,1988.0
"Coates,  Eric",1886.0,1957.0
"Schillings,  Max  Von",,
"Frescobaldi,  Girolamo",1583.0,1643.0
"Abt,  Franz",1819.0,1885.0
"De Curtis,  Ernesto",1875.0,1937.0
"Jobim,  Antônio  Carlos (""Tom"")",,
"Baker,  David  J.",1792.0,1869.0
"Bjarnason,  Daniel [Daníel]",1979.0,2010.0
"Pacini,  Giovanni",1796.0,1867.0
"Braunfels,  Walter",1882.0,1954.0
"Piket,  Frederick",,
"Crawford,  Ruth  Porter",1901.0,1953.0
"Ghedini,  Giorgio  Federico",1892.0,1965.0
"Warlock,  Peter",1894.0,1930.0
"Turnage,  Mark-Anthony",1960.0,9999.0
"Tilzer,  Albert Von",1878.0,1956.0
"Jongen,  Joseph",1873.0,1953.0
"Stange,  Max",,
"Dalbavie,  Marc-André",1961.0,1985.0
"Arutunian,  Alexander",1920.0,2012.0
"Guaraldi,  Vince",1928.0,1976.0
"Friml,  Rudolf",1879.0,1972.0
"Hubay,  Jeno",1858.0,1937.0
"Ballantine,  Edward",1886.0,1971.0
"Bellison,  Simeon",1881.0,1953.0
"Bull,  Ole",1810.0,1880.0
"Cowen,  Sir  Frederic  Hymen",,
"Ward,  Robert",1917.0,2013.0
"Thuille,  Ludwig",1861.0,1907.0
"Thome [Thomé],  Francis",1850.0,1909.0
"Roentgen [Röntgen],  Julius",1855.0,1932.0
"Riegel,  Heinrich  Joseph",,
"Amram,  David",1930.0,9999.0
"Kolb,  Barbara",1939.0,1961.0
"Gale,  Jack",1899.0,1975.0
"Huss,  Henry  Holden",1862.0,1953.0
"Spoliansky,  Mischa",1898.0,1985.0
"Clapp,  Philip  Greeley",1888.0,1954.0
"Kilar,  Wojciech",1932.0,2013.0
"Johnson,  Hall",1888.0,1970.0
"Lotti,  Antonio",1667.0,1740.0
"Wilhelmj,  August  Daniel Ferdinand",,
"Schubert - Berio ,  Franz - Luciano",,
"Hillborg,  Anders",1954.0,9999.0
"Dittersdorf,  Karl  Von",,
"Schmidt,  Franz",1874.0,1939.0
"Sakho,  Hawa",,
"Lubetsky,  Maya",,
"Rankin,  Rimari",,
"Fiorillo,  Dante",,
"Ritter,  Frederic  Louis",1834.0,1891.0
"Ezekwenna,  Chibuzo ""Chi-chi""",,
"Ewazen,  Eric",1954.0,9999.0
"Ravina,",0.0,9999.0
"Zeller,  Karl",1842.0,1898.0
"Grever,  Maria",1885.0,1951.0
"Norgard [Nørgård],  Per",1932.0,9999.0
"Niles,  John  Jacob",1892.0,1980.0
"Krug,  Arnold",1849.0,1904.0
"Strickland,  Lily",1884.0,1958.0
"Hageman,  Richard",1881.0,1966.0
"Igudesman,  Aleksey",1973.0,9999.0
"Speaks,  Oley",1874.0,1948.0
"Garland,  Joseph  C.",1903.0,1977.0
"Leclair,  Jean  Marie",,
"Kay,  Hershy",1919.0,1981.0
"Obradors,  Fernando",1897.0,1945.0
"Fuchs,  H.",1948.0,9999.0
"Sebesky,  Don",1937.0,9999.0
"Lacombe,  Louis",1818.0,1884.0
"Rex,  Charles  Gordon",,
"Sanjuan,  Pedro",,
"Wegh,  Claire",,
"Micic,  Mia",,
"Kurtag [Kurtág],  Georgy [György]",,
"Stamitz,  Johann  Wenzel Anton",1717.0,1757.0
"Reineke,  Steven",1970.0,9999.0
"Picker,  Tobias",1954.0,9999.0
"Guion,  David  Wendel F.",,
"Jarrell,  Michael",1958.0,1982.0
"Elbel,  Louis",1898.0,1907.0
"Banfield,  Raffaelo de",,
"Dykes,  John  Bacchus",1823.0,1876.0
"Kozeluch,  Leopold  Anton",1747.0,1818.0
"Schwartz,  Stephen",1941.0,1948.0
"Harkness,  Rebecca",,
"Hague,  Albert",1920.0,2001.0
"Rossellini,  Renzo",1908.0,1982.0
"Clarke,  Herbert  Lincoln",1867.0,1945.0
"Ran,  Shulamit",1949.0,1990.0
"Montsalvatge,  Xavier",1912.0,2002.0
"Reid,  Billy",1857.0,1940.0
"Harris,  Gavin",2005.0,9999.0
"Nin,  Joachin",,
"Koetsier,  Jan",1911.0,2006.0
"Berger,  Arthur",1933.0,1912.0
"Hupfeld,  Herman",1894.0,1951.0
"Bulow,  Hans  Von",,
"Bacalov,  Luis  Enrique",1933.0,2017.0
"Poniewozik,  Milo",,
"Muse,  Clarence",1889.0,1979.0
"Mayuzumi,  Toshiro",1929.0,1997.0
"Zorn,  John",1953.0,1987.0
"Harrison,  Lou",1917.0,2003.0
"Malneck,  Matty",1903.0,1981.0
"Parry,  Sir  Charles  Hubert H.",,
"Heller,  Stephen [István]",1813.0,1888.0
"Stock,  David",1939.0,2015.0
"Van Heusen,  Jimmy",1913.0,1990.0
"Martirano,  Salvatore",1927.0,1995.0
"Dahl,  Ingolf",1912.0,1970.0
"Egk,  Werner",1901.0,1983.0
"Caesar,  Irving",1895.0,1996.0
"Bach,  Wilhelm  Friedemann",1710.0,1784.0
"Pintscher,  Matthias",1971.0,9999.0
"Mengelberg,  Rudolf",,
"Estrella,  Marisol",,
"Adolphe,  Julia",1988.0,2016.0
"Rheinberger,  Joseph",1839.0,1901.0
"Kelley,  Daniel",1843.0,1905.0
"Vidal,  Paul  Antonin",1863.0,1931.0
"Hata,  Yusei",,
"Castiglioni,  Niccolò",1932.0,1996.0
"La Barbara,  Joan",1947.0,9999.0
"Stradella,  Alessandro",1643.0,1682.0
"Nessler,  Viktor  Ernst",1841.0,1890.0
"Davidovsky,  Mario",1934.0,2019.0
"Aizenstadt,  David",,
"Dick,  Robert",1811.0,1866.0
"Westmoreland,",0.0,9999.0
"Koechlin,  Charles",1867.0,1950.0
"Markevitch,  Igor",1912.0,1983.0
"Ireland,  John",1911.0,2006.0
"Davis,  Anthony",1993.0,2012.0
"Doppler,  (Albert)  Franz",,
"Jolson,  Al",1886.0,1950.0
"Green,  Arthur  N.",,
"Tcherepnin,  Alexander",1899.0,1977.0
"Sharp,  Earl  Cranston",,
"Lisle,  Claude-Joseph  R. De",,
"Nesvadba,  Josef",1926.0,2005.0
"Galesi,  Julian",,
"Guettel,  Adam",1964.0,9999.0
"Chen,  Qigang",1951.0,1984.0
"Bermel,  Derek",1967.0,9999.0
"Rzewski,  Frederic",1938.0,9999.0
"Padilla,  José",1829.0,1896.0
"Horst,  Louis",1884.0,1964.0
"Stokowski,  Leopold",1882.0,1977.0
"Pagan,  Abraham",,
"Caplet,  Andre [André]",1878.0,1925.0
"Scalero,  Rosario",1870.0,1954.0
"Mihalovici,  Marcel",1898.0,1985.0
"Nabokov,  Nicolas",1903.0,1978.0
"Fernandez Arbos,  Enrique",1863.0,1939.0
"Dargomiszky,  Alexander",,
"Celestin,  Austin",,
"Kelley,  Edgar  Stillman",1857.0,1944.0
"Rosenblatt,  Y.",,
"Konoye,  Hidemaro",1898.0,1973.0
"Rechtman,  Ilan",1963.0,9999.0
"Maurer,  Ludwig  Wilhelm",1789.0,1878.0
"Lipinsky,  Karl  Joseph",,
"Murray,  Lyn",1909.0,1989.0
"Bellini,  Renato",,
"Street,  Tison",1943.0,1951.0
"Klughardt,  August",1847.0,1902.0
"Chaminade,  Cécile",1857.0,1944.0
"Grisey,  Gerard",1946.0,1998.0
"David,  Ferdinand",1810.0,1873.0
"Donostia,  Padre  (San Sebastian, P. Jose Antonio ne Zulaica)",,
"Addinsell,  Richard",1904.0,1977.0
"Dodd,  Jimmie",1910.0,1964.0
"Malats,  Joaquin",,
"Zador,  Eugen",,
"Hanley,  James  F.",1892.0,1942.0
"Read,  Gardner",1913.0,2005.0
"Haieff,  Alexei",1914.0,1994.0
"Artsibushev,  Nikolai  Vassilievitch",,
"Miyagi,  Michio",1894.0,1956.0
"Zelenka,  Jan  Dismas",1679.0,1745.0
"Moske,  Nina",,
"Herbert,  Rajon",,
"Sichel,  John",1937.0,2005.0
"Schuyler,  Philippa  Duke",1931.0,1967.0
"Mannes,  Nathan",,
"Soderman [Söderman],  August",1832.0,1876.0
"Fujikura,  Dai",1977.0,9999.0
"Moravec,  Paul",1957.0,2004.0
"Paunio,  Pyry",,
"Rivier,  Jean",1896.0,1987.0
"Tsypin,  Vladimir",,
"Emmett,  Daniel  Decatur",1815.0,1904.0
"Press,  Jacques",,
"Infante,  Manuel",1883.0,1958.0
"Elkjer,  Robert",,
"Sinopoli,  Giuseppe",1946.0,2001.0
"Gontarcyk,  Nikita",,
"Bacharach,  Burt",1928.0,2014.0
"Sibella,  Gabrielle",,
"Josten,  Werner",1885.0,1963.0
"Hartke,  Stephen",1952.0,2013.0
"Donatoni,  Franco",1927.0,2000.0
"Mazzoli,  Missy",1980.0,2018.0
"Rollins,  Walter  E.",1906.0,1973.0
"Marcello,  Benedetto",1686.0,1739.0
"Pereira,  Joseph",0.0,9999.0
"Eysler,  Edmund",1874.0,1949.0
"Costeley,  Guillaume",1530.0,1531.0
"Laucella,  Nicola",1882.0,1952.0
"Stringham,  Edwin  S.",,
"Kravath,  Lilly",,
"Tubin,  Eduard",1905.0,1982.0
"Fesca,  Alexander  (Ernst)",,
"Mills,  Sebastian  Bach",1839.0,1898.0
"Rietz,  Julius",1812.0,1877.0
"Villegas,  Mondriana",,
"Fisher,  Fred",1875.0,1942.0
"Somervell,  Sir  Arthur",,
"Brant,  Henry",1913.0,2008.0
"Layton,  Turner",1894.0,1978.0
"Lieurance,  Thurlow",1878.0,1963.0
"Bruneau,  Alfred",1857.0,1934.0
"Novacek,  Ottokar  (Eugen)",,
"Schenck,  Elliott",,
"Arancio,  Julia",,
"Thorvaldsdottir,  Anna",1977.0,2012.0
"Newman,  Alfred",1924.0,2019.0
"Joachim,  Joseph",1831.0,1907.0
"Herman,  Jerry",1931.0,2009.0
"Nick,  Edmund",1891.0,1891.0
"Sgambati,  Giovanni",1841.0,1914.0
"Duke,  Vernon",1903.0,1969.0
"Eichheim,  Henry",1870.0,1942.0
"Kamen,  Michael",1948.0,2003.0
"Vitols,  Jazeps",1863.0,1948.0
"McKinley,  Carl",1895.0,1966.0
"Salieri,  Antonio",1750.0,1825.0
"Benedict,  Jules",1879.0,1948.0
"De Paul,  Gene",1919.0,1988.0
"Westlake,  Nigel",1958.0,9999.0
"Goldbeck,  Robert",,
"Hall,  Guy",,
"Bernstein,  Elmer",1922.0,2004.0
"Katscher,  Robert",,
"Rumshinsky,  Joseph",1881.0,1956.0
"Vejvanovsky,  Pavel  Josef",1633.0,1639.0
"Lange,  Samuel  de, Jr.",,
"Clementi,  Muzio",1752.0,1832.0
"Horsman,  Edward  Imeson, Jr.",,
"Gardel,  Carlos",1890.0,1935.0
"Conus,  Jules",1869.0,1942.0
"Bagley,  Edwin  Eugene",1857.0,1922.0
"Bochsa,  Robert  N. C.",,
"Dedrick,  Christopher",0.0,9999.0
"Mancini,  Henry",1924.0,1994.0
"Trojahn,  Manfred",1949.0,9999.0
"Huber,  Hans",1852.0,1921.0
"Brey,  Carter",1954.0,1981.0
"Eckert,  Karl",1820.0,1879.0
"Hanson,  Graydon",,
"Lees,  Benjamin",1924.0,2010.0
"Borishansky,  Elliot",,
"Levenson,  Boris",1884.0,1947.0
"Taslima,  Farah",,
"Gosfield,  Annie",1960.0,2012.0
"Antheil,  George",1900.0,1959.0
"Holland,  M.  Roger, III",,
"Ivanovici,  Ion",1845.0,1902.0
"Mana Zucca,",1885.0,1981.0
"Hertel,  Johann  Wilhelm",1727.0,1789.0
"Wolfe,  Julia",1958.0,2015.0
"Collins,  Anthony",1676.0,1729.0
"Haubiel,  Charles",1892.0,1978.0
"Botti,  Susan",,
"Rose,  Peter de",1900.0,1953.0
"Nono,  Luigi",1924.0,1990.0
"Coolidge,  Elizabeth  Sprague",1864.0,1953.0
"Ruo,  Huang",1976.0,9999.0
"McGlaughlin,  William",1943.0,1981.0
"Hoeller,  York",1944.0,9999.0
"Moya,  Antoni  Perez",1884.0,1964.0
"Macero,  Teo",1925.0,2008.0
"Sonzogno,  Giulio  Cesare",,
"Beaser,  Robert",1954.0,9999.0
"Drummond,  Dean",1949.0,2013.0
"Bates,  Mason",1977.0,9999.0
"Fiedler,  Max",1859.0,1939.0
"Barry,  John",0.0,9999.0
"Loewe,  Johann  Carl",,
"Basie,  Count",1904.0,1984.0
"Gilbert,  David",0.0,9999.0
"Iwamoto,  Yuki",,
"Garner,  Erroll",1923.0,1977.0
"Pasek,  Benj",2007.0,9999.0
"Taneyev,  Sergei",1856.0,1915.0
"Brown,  Nacio  Herb",1896.0,1964.0
"Davis,  Jimmie",1899.0,2000.0
"Auerbach,  Lera",1973.0,9999.0
"Widmann,  Jorg [Jörg]",1973.0,2018.0
"Zimmermann,  Bernd  Alois",1918.0,1970.0
"Green,  DeAnte",,
"Williams,  Aleaster",,
"Goodman,  Al",1890.0,1972.0
"Bresnick,  Martin",1946.0,9999.0
"Kahane,  Gabriel",1981.0,9999.0
"Weber-Berlioz,",,
"Umezaki,  Kojiro",,
"Lee,  Dai-Keong",1915.0,2005.0
"Palau Boix,  Manuel",1893.0,1967.0
"Yim,  Jay  Alan",1958.0,1994.0
"Raksin,  David",1912.0,2004.0
"Argento,  Dominick",1927.0,2019.0
"Vitali,  Tomaso  Antonio",1663.0,1745.0
"Reissiger,  Karl  Gottlieb",1798.0,1859.0
"Hill,  Warren",2015.0,9999.0
"Draeseke,  Felix",1835.0,1913.0
"Gaubert,  Philippe",1879.0,1941.0
"Guiraud,  Ernest",1837.0,1892.0
"Saperton,  David",1889.0,1970.0
"Baron,  Maurice",,
"Acqua,  Eva dell'",,
"Giordani,  Giuseppe",1751.0,1798.0
"Frankel,  Ari",,
"Kempter,  Lothar",1844.0,1918.0
"Noble,  Ray",1903.0,1974.0
"Riley,  Terry",1935.0,1964.0
"Bruce,  David",0.0,9999.0
"Martino,  Donald",1931.0,2005.0
"Janssen,  Werner",1899.0,1990.0
"Falcon [Falcón] Sanabria,  Juan  José",,
"Brooks,  Calie",,
"Bjork [Björk],",1965.0,1987.0
"Babin,  Victor",1909.0,1992.0
"Novick,  Nathan",,
"Fischer,  J.",1771.0,1853.0
"O'Hara,  Geoffrey",1882.0,1967.0
"Durante,  Francesco",1684.0,1755.0
"Cunningham,  Arthur",1928.0,1997.0
"Duble,  Charles  Edward",,
"Carrick,  Richard",1971.0,2015.0
"Dragoi,  Sabin  V(asile)",,
"Marx,  Joseph",1882.0,1964.0
"Perry,  Julia",1924.0,1979.0
"Colgrass,  Michael",1932.0,2019.0
"Bassett,  Leslie",1923.0,2016.0
"Botti,  Chris",1962.0,2013.0
"Miki,  Minoru",1930.0,2011.0
"Heuberger,  Richard",1850.0,1914.0
"Alexander,  Andre",1967.0,1989.0
"Oliver,  Melvin ""Sy""",,
"Mossman,  Ted",,
"Wallace,",0.0,9999.0
"Sainton,  Prosper",1813.0,1890.0
"Fischer,  Carl",1905.0,1963.0
"Galas [Galás],  Diamanda",1955.0,9999.0
"Perez-Freire,  Osman",,
"Becton,  Shelton  L.",,
"Theofanidis,  Christopher",1967.0,1994.0
"Jacob,  Gordon",1895.0,1984.0
"Andreae,  Volkmar",1879.0,1962.0
"Rolla,  Allesandro",,
"Cannon,  Hughie",1877.0,1912.0
"Baerman,  Heinrich  Joseph",,
"Gabrieli,  Andrea",1532.0,1533.0
"Horowitz,  Vladimir",1903.0,1989.0
"Buxtehude,  Dietrich",1637.0,1707.0
"Kurka,  Robert",1921.0,1957.0
"Schroeder,  William",0.0,9999.0
"Broome,  Edward",,
"Lortzing,  Albert",1801.0,1851.0
"Novak,  Vitezslav",1870.0,1949.0
"Dessau,  Paul",1894.0,1979.0
"Pinto,  Octavio",1890.0,1950.0
"Kalhor,  Kayhan",1963.0,9999.0
"Smalls,  Charlie",1943.0,1987.0
"Hoover,  Duke",,
"Stoessel,  Albert",1894.0,1943.0
"Mouquet,  Jules",1867.0,1946.0
"Graener,  Paul",1872.0,1944.0
"Guilmant,  Alexander",1837.0,1911.0
"Bielawa,  Lisa",1968.0,2009.0
"Shaw,  Lowell",,
"Goltermann,  Georg  Eduard",,
"Holyoke,  Samuel",1762.0,1820.0
"Detrick,  Zachary",,
"Freire,  Osman  Perez",1878.0,1930.0
"Merceron,",0.0,9999.0
"Tom,  Emma",1969.0,2001.0
"Skrowaczewski,  Stanislaw",1923.0,2017.0
"Berners,  Lord",1883.0,1950.0
"Kent,  Walter",1911.0,1994.0
"Sweet,  Reginald",,
"Subotnick,  Morton",1933.0,1967.0
"Rathbone,  George",,
"Perapaskero,  Sapo",,
"Godowsky,  Leopold",1870.0,1938.0
"Rossi,  Francesco",1977.0,1991.0
"Friedsell,  Louis",1863.0,1865.0
"Nelson,  Rudolf",1878.0,1960.0
"Gossec,  Francois  Joseph",1734.0,1829.0
"Van Der Stucken,  Frank",,
"Homer,  Sidney",1864.0,1953.0
"Anderson,  Paquita",,
"Oberthur,  Charles",1845.0,1924.0
"Mackey,  Steven",1956.0,9999.0
"Pryor,  Arthur",1869.0,1942.0
"Cheung,  Anthony",1952.0,2012.0
"Loder,  George, Jr.",,
"Violette,  Wesley  La",1894.0,1978.0
"Porter,  Quincy",1897.0,1966.0
"Lyapunov,  Sergius  Mikhailovich",,
"Koussevitzky,  Serge",1874.0,1951.0
"Confrey,  Zez",1895.0,1971.0
"Baum,  Parker",,
"Duvernoy,  Frederic  Nicolas",,
"Lessner,  George",,
"Lumbye,  Hans Christian",1810.0,1874.0
"Kubelik [Kubelík],  Rafael",1914.0,1996.0
"Palmer,  Robert",0.0,9999.0
"Schnyder,  Daniel",1961.0,9999.0
"Romberg,  Bernhard",1767.0,1841.0
"Gooch,  William",1681.0,1751.0
"Tchesnokoff,  Pavel",,
"Goldfaden,  Abraham",1840.0,1908.0
"Rebikov,  Vladimir  Ivanovich",1866.0,1920.0
"Kirnberger,  Johann  Philipp",1721.0,1783.0
"Mitchell,  Brian  Stokes",1957.0,2000.0
"Karlowicz,  Mieczyslaw",1876.0,1909.0
"Altman,  Arthur",1910.0,1994.0
"Schultze,  Johann  Christian",,
"Serocki,  Kazimierz",1922.0,1981.0
"Williams,  Hank",1923.0,1953.0
"Bolzoni,  Giovanni",1841.0,1919.0
"Monterde,  Bernardino  Bautista",,
"Sierra,  Roberto",1953.0,9999.0
Beal,0.0,9999.0
"Roland-Manuel,  Alexis",1891.0,1966.0
"Field,  John",1886.0,1979.0
"Destouches,  Andre  Cardinal",1672.0,1749.0
"Klenner,  John",1899.0,1955.0
"New Orleans Rhythm Kings,",0.0,9999.0
"Levine,  Julius",,
"Dubin,  Al",1891.0,1945.0
"Westerhout,  Nicola  van",1857.0,1898.0
"Doret,  Gustave",1866.0,1943.0
"Liao,  Shuwen",,
"Robin,  Yann",,
"Bull,  John",0.0,9999.0
Perlmutter,1845.0,1941.0
"Howe,  Mary",1882.0,1964.0
"Davies,  Tansy",1973.0,1996.0
"Lorenz,  Carl",1913.0,1993.0
"Donaudy,  Stefano",1879.0,1925.0
"Meij,  Johan de",1953.0,9999.0
"Bernie,  Ben",1891.0,1943.0
"Sandidge,  Daniel",,
"Benda,  Jirí (Georg)  Antonín (Anton)",,
"McPhee,  Colin",1900.0,1964.0
"Lash,  Hannah",1981.0,9999.0
"Harvey,  Jonathan",1939.0,2012.0
"Durakovic,  Amina",,
"Mills,  Charles",0.0,9999.0
"Slonimsky,  Nicolas",1894.0,1995.0
"Mingus,  Charles",1922.0,1979.0
"Kjerulf,  Halfdan",1815.0,1868.0
"Arotsky,  Sheridan",,
"Otterstrom,  Thorvald",,
"Spontini,  Gasparo",1774.0,1851.0
"Langgaard,  Rued",1893.0,1952.0
"Barrymore,  Lionel",1878.0,1954.0
"Senfl,  Ludwig",1486.0,1542.0
"Richman,  Lucas",1964.0,2010.0
"Ergun,  Cenk",,
"Zilcher,  Hermann",1881.0,1948.0
"Kessler,  James C.",,
"Chajes,  Julius",,
"Andersen,  Joachim",1847.0,1909.0
"Don Alfonso-Carriola,",,
"Bazzini,  Antonio",1818.0,1897.0
"Ellstein,  Abraham",1907.0,1963.0
"Lindner,  August",,
"Bohm,  Carl",1844.0,1920.0
"Weber,  Ben",1916.0,1979.0
"Calvisius,  Sethus",1556.0,1615.0
"Brubeck,  Howard",1916.0,1993.0
"Nowowiejski,  Felix",,
"Mourant,  Walter",,
"Tobias,  Charles",1898.0,1970.0
"Dowland,  John",1563.0,1626.0
"Thomas,  Arthur  Goring",1850.0,1892.0
"Meyerowitz,  Jan",1913.0,1998.0
"Gerhard,  Roberto",1896.0,1970.0
"Zhao,  Lin",1932.0,1968.0
"Svane,  Randall",1955.0,2005.0
"Delamarter,  Eric",,
"Jensen,  Ludwig  Irgens",,
"Halffter,  Ernesto",1905.0,1989.0
"Servais,  Adrien  Francois",1807.0,1866.0
"Osgood,  James  R.",1836.0,1892.0
"Prestini,  Paola",2011.0,9999.0
"Carmichael,  Hoagy",1899.0,1981.0
"Araujo,  Benjamin",1900.0,1928.0
"Piovani,  Nicola",1946.0,1998.0
"Djawadi,  Ramin",1974.0,2008.0
"Bronsart,  Hans  Von",,
"Rogalski,  Theodor",,
"Paulus,  Stephen",1949.0,2014.0
"McManus,  Andrew",2008.0,2014.0
"Koutzen,  Boris",1901.0,1966.0
"Tyzik,  Jeff",1951.0,9999.0
"Swift,  Kay",1897.0,1993.0
"Serly,  Tibor",1901.0,1978.0
"Williams,  Spencer",1889.0,1965.0
"Newman,  Thomas",1955.0,2000.0
"Mantovani,  Bruno",1974.0,1993.0
"Conrad,  Con",1891.0,1938.0
"Louiguy,  Louis",,
"Blanchet,  Emile  R.",,
"Rodine,  Saevar",,
"Bonporti,  Francesco  Antonio",1672.0,1749.0
"Pichardo,  Edward",,
"Meyers, Billy,  Schoebel, Elmer  and",,
"Donaldson,  Walter",1893.0,1947.0
"Berio,  Adolfo",,
"Barraud,  Henri",1900.0,1997.0
"Kellaway,  Roger",1939.0,9999.0
"Valentini,  Giuseppe",1681.0,1753.0
"Wagner,  Siegfried",1869.0,1930.0
"Russo,  William",1912.0,1975.0
"Sauter,  Eddie",1914.0,1981.0
"Nanino,  Giovanni  Maria",1543.0,1544.0
"Gannon,  James ""Kim""",1900.0,1974.0
"Lavry,  Marc",1903.0,1967.0
"Burmeister,  Richard",1860.0,1944.0
"Musgrave,  Thea",1928.0,1972.0
"Peel,",0.0,9999.0
"Bowen,  York",1884.0,1961.0
"Solano,",0.0,9999.0
"Binet,  Jean",,
"Witt,  Friedrich",1770.0,1836.0
"Hofmann,  Josef",1876.0,1957.0
"Turano,  Olivia",,
"Erb,  Donald",1927.0,2008.0
"Fairchild,  Blair",1877.0,1933.0
"Ettinger,  Max",,
"Vaclavik,  Jude",,
"Willis,  Richard  Storrs",1819.0,1900.0
"Simonson,  Victor",,
"Krawczyk,  Franck",,
"Arne,  Thomas",1710.0,1778.0
"Savino,  Domenico",1882.0,1973.0
"Gernsheim,  Friedrich",1839.0,1916.0
"Baum,  Sabrina",,
"Maslanka,  David",1943.0,2017.0
"Ashimine,  Shuono",,
"Martini,  Giovanni  Battista",1706.0,1784.0
"Rickett,  Edmond",,
"Dawson,  Mary  Cardwell",1894.0,1962.0
"Ladmirault,  Paul  Emile",,
